Pattern Name,Analyte,Amount,Unit,Age,Age interval (years),Notes,Reference
EAR for Pregnancy,histidine,15,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,isoleucine,20,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,leucine,45,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,lysine,41,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,methionine+cysteine,20,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,phenylalanine+tyrosine,36,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,threonine,21,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,tryptophan,5,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Pregnancy,valine,25,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,histidine,18,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,isoleucine,25,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,leucine,56,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,lysine,51,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,methionine+cysteine,25,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,phenylalanine+tyrosine,44,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,threonine,26,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,tryptophan,7,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Pregnancy,valine,31,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,histidine,15,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,isoleucine,24,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,leucine,50,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,lysine,42,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,methionine+cysteine,21,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,phenylalanine+tyrosine,41,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
